18-08 (2)_19_10_24_21_37_51_112.jpg - distance:3.5081931731418496 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_107.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_113.jpg - distance:4.45322650247395 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_107.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_115.jpg - distance:1.0007428340588183 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_114.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_116.jpg - distance:1.9006324676380009 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_114.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_117.jpg - distance:2.6638739509398746 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_114.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_118.jpg - distance:3.745020054691193 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_114.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_119.jpg - distance:4.4511122101636325 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_114.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_121.jpg - distance:0.7959010674671042 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_122.jpg - distance:1.4224174250062398 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_123.jpg - distance:2.0731132875937246 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_124.jpg - distance:2.5678248218122266 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_125.jpg - distance:2.9986587505386777 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_126.jpg - distance:3.3723633864289213 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_127.jpg - distance:3.6023335190750316 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_128.jpg - distance:3.899057042865055 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_129.jpg - distance:3.9996995901770607 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_130.jpg - distance:4.335392341384278 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_131.jpg - distance:4.738362815983636 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_120.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_133.jpg - distance:0.18502759432010724 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_134.jpg - distance:0.5544724051126466 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_135.jpg - distance:0.9990169113219431 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_136.jpg - distance:1.4149908058443645 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_137.jpg - distance:1.8406225334383592 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_138.jpg - distance:2.3891773845309467 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_139.jpg - distance:2.991825416779823 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_140.jpg - distance:3.6219615653979336 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_141.jpg - distance:4.3267519287328975 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_142.jpg - distance:4.6588684110868925 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_132.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_144.jpg - distance:0.7584890329841089 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_143.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_145.jpg - distance:1.5356612628960593 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_143.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_146.jpg - distance:2.6714006764926315 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_143.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_147.jpg - distance:3.482407412488987 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_143.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_148.jpg - distance:4.338031837940182 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_143.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_150.jpg - distance:0.7819585076225213 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_149.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_151.jpg - distance:1.5347271407193281 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_149.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_152.jpg - distance:2.217861503946087 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_149.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_153.jpg - distance:2.8620875182761796 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_149.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_154.jpg - distance:3.5267572894944306 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_149.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_155.jpg - distance:4.175988203012844 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_149.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_156.jpg - distance:4.528919871259859 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_149.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_158.jpg - distance:0.6096152065689914 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_157.jpg | class:-22.780|-43.376
